title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Haunter,Abigail Breslin;Stephen McHattie;David Hewlett;David Knoll;Peter Outerbridge,Vincenzo Natali,Matthew Brian King;Brian King,Horror;Mystery;Thriller,haunted house;house;afterlife;possession;serial killer;duct tape;time loop;teenager;trapped;laundry;ghost;duct tape gag;trapped soul,not available,97,2013,English,60.0,-,-,,,,
Faster,Dwayne Johnson;Billy Bob Thornton;Maggie Grace;Carla Gugino;Tom Berenger,"George Tillman, Jr.",Tony Gayton;Tony Gayton;Joe Gayton;Joe Gayton,Crime;Drama;Action;Thriller,prisoner;hitman;police;shooting;cop;revenge;crime;driver,R,98,2010,English,62.0,$24000000.00,$23081726.00,,,,
C'est la vie!,Jean-Pierre Bacri;Gilles Lellouche;Jean-Paul Rouve;Vincent Macaigne;Alban Ivanov,Olivier Nakache;Eric Toledano,Olivier Nakache;Eric Toledano,Comedy,,not available,115,2017,French,70.0,$17200000.00,$23800000.00,,,,
Talk to Her,Leonor Watling;Rosario Flores;Javier Cámara;Darío Grandinetti;Mariola Fuentes,Pedro Almodóvar,Pedro Almodóvar;Pedro Almodóvar,Drama;Romance,suicide;spain;rape;coma;bullfight;torera;journalist;sexual abuse;dying and death;theatre milieu;friendship;car crash;hospital;pregnancy,R,112,2002,Spanish,75.0,-,$51001550.00,,,,
Fear,Mark Wahlberg;Reese Witherspoon;William Petersen;Alyssa Milano;Amy Brenneman,James Foley,Christopher Crowe,Drama;Thriller;Romance,psychopath;teenage girl,R,97,1996,English,61.0,-,-,,,,
30 Days of Night,Josh Hartnett;Melissa George;Ben Foster;Danny Huston;Mark Boone Junior,David Slade,Steve Niles;Steve Niles;Brian Nelson;Stuart Beattie,Horror;Thriller,sunrise;winter;vampire;marriage crisis;alaska;based on graphic novel;blizzard;blood lust;polar night,R,113,2007,English,63.0,$30000000.00,$75505973.00,,,,
America's Sweethearts,Julia Roberts;Billy Crystal;Catherine Zeta-Jones;John Cusack;Hank Azaria,Joe Roth,Peter Tolan;Billy Crystal,Comedy;Romance,movie business;wife husband relationship;fictitious marriage;married couple;marriage crisis,PG-13,102,2001,English,56.0,-,-,,,,
The Way Way Back,Liam James;Steve Carell;Toni Collette;AnnaSophia Robb;Sam Rockwell,Jim Rash;Nat Faxon,Jim Rash;Nat Faxon,Comedy;Drama,shyness;beach;bicycle;conversation;friendship;step father;vacation;job;neighbor;summer;teenager;water park;awkwardness,PG-13,103,2013,English,71.0,$4600000.00,$23198652.00,,,,
The Age of Adaline,Blake Lively;Michiel Huisman;Harrison Ford;Ellen Burstyn;Kathy Baker,Lee Toland Krieger,Salvador Paskowitz;Salvador Paskowitz;J. Mills Goodloe;J. Mills Goodloe,Fantasy;Drama;Romance,san francisco;immortality;love;forever,PG-13,112,2015,English,74.0,$25000000.00,$65663276.00,,,,
Instinct,Anthony Hopkins;Cuba Gooding Jr.;Donald Sutherland;Maura Tierney;George Dzundza,Jon Turteltaub,Gerald Di Pego,Drama;Mystery;Thriller,prison;gorilla;research;instinct;murder;psychologist,R,126,1999,English,63.0,$80000000.00,-,,,,
9 Month Stretch,Albert Dupontel;Sandrine Kiberlain;Nicolas Marié;Philippe Uchan;Philippe Duquesne,Albert Dupontel,Albert Dupontel,Comedy,court case;criminal;female judge,PG-13,82,2013,French,63.0,-,-,,,,
The Many Adventures of Winnie the Pooh,Sebastian Cabot;Sterling Holloway;Paul Winchell;Junius Matthews;Barbara Luddy,John Lounsbery;Wolfgang Reitherman,A. A. Milne;A. A. Milne;Ralph Wright;Xavier Atencio;Ted Berman;Vance Gerry;Ken Anderson;Julius Svendsen;Eric Cleworth;Larry Clemmons,Animation;Family,dream sequence;winnie the pooh;cartoon bear;cartoon tiger,G,74,1977,English,71.0,-,-,,,,
Serial Mom,Kathleen Turner;Sam Waterston;Ricki Lake;Matthew Lillard;Justin Whalin,John Waters,John Waters,Comedy;Crime;Horror;Thriller,harassment;housewife;protection;court;motherly love;evil mother;murder;independent film;serial killer;infamy;perfectionist;perfection;crazy mother;surburbia;stickler;judgemental,R,95,1994,English,66.0,$13000000.00,$7820688.00,,,,
The Secret Life of Walter Mitty,Ben Stiller;Kristen Wiig;Patton Oswalt;Shirley MacLaine;Adam Scott,Ben Stiller,James Thurber;Steve Conrad,Adventure;Comedy;Drama;Fantasy,himalaya;photographer;magazine;iceland;daydream;photograph;shark;fired from the job;skateboard;dreamer;online dating;daydreaming,PG,114,2013,English,71.0,$90000000.00,$188133322.00,,,,
The Boxtrolls,Ben Kingsley;Isaac Hempstead-Wright;Elle Fanning;Dee Bradley Baker;Toni Collette,Graham Annable;Anthony Stacchi,Alan Snow;Adam Pava;Irena Brignull,Animation;Comedy;Family;Fantasy,based on novel;parent child relationship;stop motion;unlikely friendship;duringcreditsstinger,PG,97,2014,English,66.0,$60000000.00,$108255770.00,,,,
Beverly Hills Ninja,Chris Farley;Nicollette Sheridan;Robin Shou;Nathaniel Parker;Chris Rock,Dennis Dugan,Mitchell Klebanoff;Mark Feldberg,Action;Comedy,japan;ninja fighter;overweight man;clumsy fellow;teacher;falling in love;school life,PG-13,88,1997,English,54.0,-,-,,,,
Margin Call,Kevin Spacey;Paul Bettany;Jeremy Irons;Zachary Quinto;Ashley Williams,J.C. Chandor,J.C. Chandor,Thriller;Drama,capitalism;brokerage;wall street;downsizing;financial crisis;stock market;stock market crash;21st century;investment,R,107,2011,English,67.0,$3500000.00,$19504039.00,,,,
"Crouching Tiger, Hidden Dragon",Chow Yun-fat;Michelle Yeoh;Zhang Ziyi;Chang Chen;Cheng Pei-Pei,Ang Lee,Kuo Jung Tsai;Wang Hui-Ling;Du Lu Wang;James Schamus,Adventure;Drama;Action;Romance,flying;martial arts;taskmaster;comb;tiger;desert thief;theft;female martial artist,PG-13,120,2000,Mandarin,72.0,$17000000.00,$213525736.00,,,,
Suffragette,Carey Mulligan;Helena Bonham Carter;Brendan Gleeson;Anne-Marie Duff;Meryl Streep,Sarah Gavron,Abi Morgan,Drama;History,london england;biography;feminist;period drama;woman director;1910s;suffragettes,not available,106,2015,English,72.0,$14000000.00,$16002420.00,,,,
Jesus Christ Superstar,Ted Neeley;Carl Anderson;Yvonne Elliman;Barry Dennen;Bob Bingham,Norman Jewison,Norman Jewison;Melvyn Bragg;Tim Rice,Drama;History;Music,israel;dance;jesus christ;crucifixion;musical;judas;rock opera,G,108,1973,English,71.0,-,$13200000.00,,,,
Natural Born Killers,Woody Harrelson;Juliette Lewis;Robert Downey Jr.;Tommy Lee Jones;Tom Sizemore,Oliver Stone,Oliver Stone;Richard Rutowski;David Veloz;Quentin Tarantino,Crime;Thriller;Drama,sadistic;journalist;mass murder;yellow press;trauma;daughter;satire;controversy;controversial;violence;cult film;young couple;abuse,R,119,1994,English,70.0,$34000000.00,$50282766.00,,,,
The Great Debaters,Denzel Washington;Nate Parker;Forest Whitaker;Denzel Whitaker;Kimberly Elise,Denzel Washington,Jeffrey Porro;Robert Eisele,Drama,biography,PG-13,126,2007,English,70.0,$15000000.00,$30226144.00,,,,
Captain America: The Winter Soldier,Chris Evans;Samuel L. Jackson;Scarlett Johansson;Robert Redford;Sebastian Stan,Joe Russo;Anthony Russo,Stephen McFeely;Christopher Markus,Action;Adventure;Science Fiction,washington d.c.;future;shield;superhero;based on comic;captain america;aftercreditsstinger;duringcreditsstinger;marvel cinematic universe;3d;political thriller,PG-13,136,2014,English,76.0,$170000000.00,$714766572.00,,,,
Bug,Ashley Judd;Michael Shannon;Harry Connick Jr.;Lynn Collins;Brían F. O'Byrne,William Friedkin,Tracy Letts,Horror;Thriller,obsession;paranoia;motel;delusion;conspiracy theory;psychosis;insects,R,102,2006,English,60.0,$4000000.00,$8059140.00,,,,
Torque,Martin Henderson;Ice Cube;Monet Mazur;Adam Scott;Matt Schulze,Joseph Kahn,Matt Johnson,Action,ex-girlfriend;drug dealer;gang;motorcycle,PG-13,84,2004,English,46.0,$40000000.00,$46546197.00,,,,
Under the Shadow,Narges Rashidi;Avin Manshadi;Bobby Naderi;Ray Haratian;Hamid Djavadan,Babak Anvari,Babak Anvari,Drama;Horror;Thriller;War,mother;daughter;evil;1980s;tehran,not available,84,2016,Persian,68.0,-,-,,,,
Inside Man,Denzel Washington;Clive Owen;Jodie Foster;Christopher Plummer;Willem Dafoe,Spike Lee,Russell Gewirtz,Crime;Drama;Thriller,bank manager;kidnapping;nazi background;ultimatum;court case;heist;financial transactions,R,129,2006,English,73.0,$45000000.00,$185798265.00,,,,
The Hundred-Foot Journey,Helen Mirren;Manish Dayal;Om Puri;Charlotte Le Bon;Rohan Chand,Lasse Hallström,Richard C. Morais;Steven Knight,Drama,france;based on novel;indian lead;restaurant;family,PG,122,2014,English,73.0,$22000000.00,$88880821.00,,,,
Paranormal Activity: The Ghost Dimension,Chris J. Murray;Brit Shaw;Ivy George;Dan Gill;Olivia Taylor Dudley,Gregory Plotkin,Andrew Deutschman;Andrew Deutschman;Jason Pagan;Jason Pagan;Brantley Aufill;Gavin Heffernan;Adam Robitel,Horror;Thriller,terror;supernatural;sequel;demon;found footage;christmas;3d,R,88,2015,English,51.0,$10000000.00,$78096553.00,,,,
Perfect Sense,Ewan McGregor;Eva Green;Ewen Bremner;Stephen Dillane;Denis Lawson,David Mackenzie,Kim Fupz Aakeson,Drama;Science Fiction;Romance,one-night stand;insomnia;memory;scientist;epidemic;chef;anarchy,R,92,2011,English,68.0,-,$908000.00,,,,
Millennium Actress,Miyoko Shoji;Mami Koyama;Fumiko Orikasa;Shozo Iizuka;Masaya Onosaka,Satoshi Kon,Satoshi Kon;Sadayuki Murai,Animation;Drama;Romance,historical;edo period;sengoku period;shouwa period;anime;meiji period,NR,87,2002,Japanese,79.0,-,-,,,,
