title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Hoodwinked Too! Hood VS. Evil,Hayden Panettiere;Bill Hader;Joan Cusack;Patrick Warburton;Glenn Close,Mike Disa,Mike Disa;Cory Edwards,Comedy;Animation;Family,witch;wolf;little red riding hood;sequel;computer animation;goat;aftercreditsstinger;duringcreditsstinger,PG,86,2011,English,48.0,$30000000.00,$13521829.00,,,,
Vanishing on 7th Street,Hayden Christensen;Thandie Newton;John Leguizamo;Neal Huff;Jacob Latimore,Brad Anderson,Anthony Jaswinski,Mystery;Horror;Thriller,light;darkness;suspense,R,92,2010,English,49.0,$10000000.00,$1068682.00,,,,
Ladyhawke,Matthew Broderick;Rutger Hauer;Michelle Pfeiffer;Alfred Molina;John Wood,Richard Donner,David Webb Peoples;Michael Thomas;Edward Khmara;Tom Mankiewicz,Adventure;Drama;Fantasy;Romance,moon;monk;swordplay;bishop;cathedral;falcon;twilight;solar eclipse;thief,PG-13,121,1985,English,68.0,$20000000.00,$18432000.00,,,,
The Duchess,Keira Knightley;Ralph Fiennes;Charlotte Rampling;Dominic Cooper;Hayley Atwell,Saul Dibb,Saul Dibb;Amanda Foreman;Jeffrey Hatcher;Anders Thomas Jensen,Drama;History;Romance,england;adultery;duke;gambling debts;marriage crisis;18th century,PG-13,110,2008,English,68.0,$17759769.00,$43306325.00,,,,
Office Space,Ron Livingston;Jennifer Aniston;David Herman;Ajay Naidu;Diedrich Bader,Mike Judge,Mike Judge,Comedy;Crime,suburbia;downsizing;cult film;software engineer;burnout;dallas texas;beach resort;coworker relationship;laziness;duringcreditsstinger;business rivalry,R,89,1999,English,74.0,$10000000.00,$10827810.00,,,,
The Crimson Rivers,Jean Reno;Vincent Cassel;Nadia Farès;Dominique Sanda;Karim Belkhadra,Mathieu Kassovitz,Mathieu Kassovitz;Jean-Christophe Grangé,Crime;Mystery;Thriller,skinhead;secret;murder;policeman;graveyard,R,106,2000,French,68.0,$2365000.00,-,,,,
The Amazing Spider-Man,Andrew Garfield;Emma Stone;Rhys Ifans;Denis Leary;Campbell Scott,Marc Webb,James Vanderbilt;James Vanderbilt;Steve Kloves;Alvin Sargent,Action;Adventure;Fantasy,loss of loved one;experiment;vigilante;serum;based on comic;super power;spider bite;masked vigilante;reboot;genetic engineering;social outcast;duringcreditsstinger,PG-13,136,2012,English,65.0,$215000000.00,$752215857.00,,,,
Blue Velvet,Isabella Rossellini;Kyle MacLachlan;Dennis Hopper;Laura Dern;Hope Lange,David Lynch,David Lynch,Crime;Drama;Mystery;Thriller,small town;ear;suspense;independent film;policeman;cult film;ear cut off,R,120,1986,English,76.0,$6000000.00,$8551228.00,,,,
Miss Sloane,Jessica Chastain;Mark Strong;Gugu Mbatha-Raw;Michael Stuhlbarg;Alison Pill,John Madden,Jonathan Perera,Drama;Thriller,gun;empowerment;strong woman;career woman;senator;politics;female protagonist;woman power;female empowerment;determination;ethics;lobbyist;gun control,R,132,2016,English,73.0,$13000000.00,$9101546.00,,,,
Dumb and Dumberer: When Harry Met Lloyd,Mimi Rogers;Eric Christian Olsen;Luis Guzmán;Rachel Nichols;Eugene Levy,Troy Miller,Troy Miller;Robert Brener,Comedy,skateboarding;adoption;friendship;fate,PG-13,85,2003,English,39.0,$19000000.00,$39267515.00,,,,
Iron Sky,Julia Dietze;Christopher Kirby;Götz Otto;Udo Kier;Stephanie Paul,Timo Vuorensola,Timo Vuorensola;Michael Kalesniko,Action;Comedy;Science Fiction,moon;flying saucer;hologram;secret base;space travel;invasion;nuclear explosion;swastika;outer space;gas mask;charlie chaplin;nazi,R,93,2012,English,56.0,$7500000.00,$8135031.00,,,,
The Rescuers,Bob Newhart;Eva Gabor;Geraldine Page;Joe Flynn;Jeanette Nolan,John Lounsbery;Art Stevens;Wolfgang Reitherman,Dick Sebast;Margery Sharp;Ted Berman;Fred Lucky;David Michener;Frank Thomas;Vance Gerry;Ken Anderson;Burny Mattinson;Larry Clemmons,Fantasy;Family;Animation;Adventure,kidnapping;mouse;baby-snatching;bottle;rescue;animation;energy;rescue mission;mole;car;hole;tide,G,78,1977,English,67.0,$1200000.00,$71215869.00,,,,
The Sentinel,Michael Douglas;Kiefer Sutherland;Eva Longoria;Martin Donovan;Kim Basinger,Clark Johnson,Gerald Petievich;George Nolfi,Action;Thriller;Crime,usa president;agent,PG-13,108,2006,English,58.0,$60000000.00,$77920346.00,,,,
Wonder Woman,Gal Gadot;Chris Pine;Connie Nielsen;Robin Wright;Danny Huston,Patty Jenkins,Allan Heinberg;Allan Heinberg;Geoff Johns;Jason Fuchs;Zack Snyder,Action;Adventure,dc comics;hero;greek mythology;island;feminism;empowerment;world war i;strong woman;superhero;based on comic;beautiful woman;superheroine;female protagonist;woman power;period drama;super power;heroine;woman director;female empowerment;1910s;dc extended universe,PG-13,141,2017,English,72.0,$149000000.00,$821847012.00,,,,
The Hand that Rocks the Cradle,Annabella Sciorra;Rebecca De Mornay;Matt McCoy;Ernie Hudson;Madeline Zima,Curtis Hanson,Amanda Silver,Drama;Thriller,loss of loved one;nanny;destroy;family's daily life;infant;rage and hate;malice;childlessness;child wish;child,R,110,1992,English,65.0,$11700000.00,$88036683.00,,,,
Step Up,Channing Tatum;Jenna Dewan;Damaine Radcliff;De'Shawn Washington;Mario,Anne Fletcher,Duane Adler;Duane Adler;Melissa Rosenberg,Music;Drama;Romance;Crime,dancing;new love;dance;baltimore;art school;woman director,PG-13,104,2006,English,67.0,$12000000.00,$114194847.00,,,,
Furious 7,Vin Diesel;Paul Walker;Dwayne Johnson;Michelle Rodriguez;Tyrese Gibson,James Wan,Chris Morgan,Action;Crime;Thriller,car race;speed;revenge;suspense;car;race;muscle car,PG-13,137,2015,English,72.0,$190000000.00,$1506249360.00,,,,
Gentlemen Prefer Blondes,Jane Russell;Marilyn Monroe;Charles Coburn;Elliott Reid;Tommy Noonan,Howard Hawks,Anita Loos;Charles Lederer,Music;Comedy;Romance,paris;robbery;parent child relationship;diamant;revuegirls;double wedding;musical;jewelry;millionaire,NR,91,1953,English,72.0,-,$12000000.00,,,,
Copycat,Sigourney Weaver;Holly Hunter;Will Patton;William McNamara;Harry Connick Jr.,Jon Amiel,David Madsen;Ann Biderman,Drama;Thriller,police brutality;psychology;police operation;police protection;serial killer;psychologist;cowardliness,R,124,1995,English,64.0,-,-,,,,
Dylan Dog: Dead of Night,Brandon Routh;Peter Stormare;Sam Huntington;Taye Diggs;Anita Briem,Kevin Munroe,Joshua Oppenheimer;Thomas Dean Donnelly,Action;Comedy;Horror;Mystery;Science Fiction;Thriller,detective;vampire;supernatural;zombie;werewolf;ghouls,PG-13,107,2011,English,45.0,$20000000.00,$4634062.00,,,,
The Covenant,Steven Strait;Laura Ramsey;Jessica Lucas;Taylor Kitsch;Chace Crawford,Renny Harlin,J.S. Cardone,Action;Adventure;Fantasy;Horror;Science Fiction;Thriller,magic;male friendship;college;supernatural powers;teenager,PG-13,97,2006,English,53.0,$20000000.00,$37597471.00,,,,
A Tale of Two Sisters,Im Soo-jung;Yum Jung-ah;Moon Geun-Young;Kim Kap-soo;Park Mi-Hyeon,Kim Jee-woon,Kim Jee-woon,Drama;Horror;Mystery,loss of loved one;amnesia;step mother;sister;tragedy;vengeful ghost,not available,115,2003,Korean,70.0,-,-,,,,
The Curse of the Jade Scorpion,Dan Aykroyd;Helen Hunt;Woody Allen;Charlize Theron;David Ogden Stiers,Woody Allen,Woody Allen,Comedy;Crime;Mystery;Romance;Thriller,hypnosis;independent film,PG-13,103,2001,English,64.0,-,-,,,,
The Fly,David Hedison;Patricia Owens;Vincent Price;Herbert Marshall;Kathleen Freeman,Kurt Neumann,James Clavell,Drama;Horror;Science Fiction,experiment;teleportation;hybrid;fly the insect,NR,94,1958,English,69.0,$700000.00,$3000000.00,,,,
Ghost,Patrick Swayze;Demi Moore;Whoopi Goldberg;Tony Goldwyn;Vincent Schiavelli,Jerry Zucker,Bruce Joel Rubin,Fantasy;Drama;Thriller;Mystery;Romance,corruption;fortune teller;money transfer;money laundering;pottery;afterlife;spiritism,PG-13,127,1990,English,69.0,$22000000.00,$505000000.00,,,,
Spectre,Daniel Craig;Christoph Waltz;Léa Seydoux;Ralph Fiennes;Monica Bellucci,Sam Mendes,Neal Purvis;Neal Purvis;Robert Wade;Robert Wade;John Logan;John Logan;Jez Butterworth,Action;Adventure;Crime,spy;based on novel;secret agent;sequel;mi6;british secret service;united kingdom,PG-13,148,2015,English,63.0,$245000000.00,$880674609.00,,,,
One Hundred and One Dalmatians,Rod Taylor;J. Pat O'Malley;Betty Lou Gerson;Martha Wentworth;Ben Wright,Clyde Geronimi;Wolfgang Reitherman;Hamilton Luske,Dodie Smith;Bill Peed,Adventure;Animation;Comedy;Family,puppy;animation;dog;dalmatian,G,79,1961,English,69.0,$4000000.00,$215880014.00,,,,
What We Did on Our Holiday,David Tennant;Rosamund Pike;Billy Connolly;Ben Miller;Amelia Bullmore,Andy Hamilton;Guy Jenkin,Andy Hamilton;Guy Jenkin,Comedy,vacation;family,PG-13,95,2014,English,68.0,-,$1289998.00,,,,
Knockin' on Heaven's Door,Til Schweiger;Jan Josef Liefers;Thierry van Werveke;Moritz Bleibtreu;Huub Stapel,Thomas Jahn,Thomas Jahn;Til Schweiger,Comedy;Crime,ocean;car race;brain tumor;money delivery;dying and death;friendship;police;road movie,12,87,1997,German,75.0,-,-,,,,
Ballerina,Elle Fanning;Dane DeHaan;Carly Rae Jepsen;Maddie Ziegler;Mel Brooks,Eric Summer;Éric Warin,Eric Summer;Carol Noble;Laurent Zeitoun,Animation;Adventure;Comedy;Family,paris;flying;inventor;dance;opera;musical;life's dream;ballet;orphan;statue of liberty;kids;eiffel tower paris;19th century;3d,not available,89,2016,English,72.0,$30000000.00,$2351359.00,,,,
Get the Gringo,Mel Gibson;Peter Stormare;Dean Norris;Bob Gunton;Kevin Hernandez,Adrian Grunberg,Adrian Grunberg;Stacy Perskie;Mel Gibson,Action;Thriller;Crime;Drama,prison;mexico;vacation;prison escape,R,95,2012,English,64.0,$35000000.00,-,,,,
Frances Ha,Greta Gerwig;Mickey Sumner;Adam Driver;Michael Zegen;Michael Esper,Noah Baumbach,Noah Baumbach;Greta Gerwig,Comedy;Drama,dancer;friendship;loneliness;black and white;new york city;responsibility;late coming of age,R,86,2013,English,73.0,-,$4069826.00,,,,
Star Trek Beyond,Chris Pine;Zachary Quinto;Karl Urban;Zoe Saldana;Simon Pegg,Justin Lin,Doug Jung;Simon Pegg,Action;Adventure;Science Fiction,sequel;stranded;hatred;space opera,PG-13,122,2016,English,66.0,$185000000.00,$343471816.00,,,,
United 93,J.J. Johnson;Polly Adams;Trish Gates;Nancy McDoniel;Opal Alladin,Paul Greengrass,Paul Greengrass,Drama;History;Crime;Thriller;Action,war on terror;airplane;hijacking;terror cell;emergency landing,R,111,2006,English,69.0,$15000000.00,$76286096.00,,,,
Friday the 13th: A New Beginning,Melanie Kinnaman;John Shepherd;Shavar Ross;Richard Young;Marco St. John,Danny Steinmann,Danny Steinmann;John Shepherd;David Cohen;Martin Kitrosser,Horror;Thriller,mask;psychology;serial killer;hospital;teenager;series of murders,R,92,1985,English,50.0,$2200000.00,$21930418.00,,,,
Jurassic Park,Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough;Bob Peck,Steven Spielberg,Michael Crichton;Michael Crichton;David Koepp,Adventure;Science Fiction,exotic island;dna;paleontology;tyrannosaurus rex;triceratops;brontosaurus;electric fence;island;dinosaur;amusement park;theme park;jurassic park,PG-13,127,1993,English,77.0,$63000000.00,$920100000.00,,,,
Shoot 'Em Up,Clive Owen;Monica Bellucci;Paul Giamatti;Stephen McHattie;Greg Bryk,Michael Davis,Michael Davis,Action;Thriller;Comedy;Crime,prostitute;baby;new love;hero;ball;chase;dying and death;weapon;shootout;blood;violence,R,86,2007,English,63.0,$39000000.00,$26820641.00,,,,
Some Like It Hot,Marilyn Monroe;Tony Curtis;Jack Lemmon;George Raft;Pat O’Brien,Billy Wilder,Billy Wilder;Robert Thoeren;Michael Logan;I. A. L. Diamond,Comedy;Romance,chicago;witness;musician;mafia;cross dressing;band;spats;all girl band;st. valentine's day massacre;sugar;valentine's day;dressing,not available,122,1959,English,80.0,$2883848.00,$25000000.00,,,,
Stuart Little 2,Michael J. Fox;Geena Davis;Hugh Laurie;Jonathan Lipnicki;Anna Hoelck,Rob Minkoff,E.B. White,Family;Adventure;Animation;Comedy,mouse;falcon;bird;friendship;family,G,78,2002,English,54.0,$120000000.00,$169956806.00,,,,
What a Beautiful Day,Checco Zalone;Nabiha Akkari;Rocco Papaleo;Tullio Solenghi;Anna Rita Del Piano,Gennaro Nunziante,Gennaro Nunziante;Checco Zalone,Comedy,,not available,97,2011,Italian,64.0,$6000000.00,-,,,,
The DUFF,Mae Whitman;Robbie Amell;Bella Thorne;Bianca A. Santos;Skyler Samuels,Ari Sandel,Josh A. Cagan,Romance;Comedy,usa;friendship;high school;teenager;relationship;popularity;high school student;teen comedy;duringcreditsstinger;girl next door;based on young adult novel,PG-13,100,2015,English,67.0,$8500000.00,$43528634.00,,,,
Casino,Robert De Niro;Sharon Stone;Joe Pesci;James Woods;Don Rickles,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi;Martin Scorsese,Crime;Drama,poker;drug abuse;1970s;overdose;mafia;illegal prostitution;1980s;juego,R,178,1995,English,78.0,$52000000.00,$116112375.00,,,,
Did You Hear About the Morgans?,Hugh Grant;Sarah Jessica Parker;Mary Steenburgen;Sam Elliott;Natalia Klimas,Marc Lawrence,Marc Lawrence,Comedy,usa;countryside;witness protection;comedy;duringcreditsstinger,PG-13,103,2009,English,51.0,$58000000.00,$85280250.00,,,,
Carriers,Lou Taylor Pucci;Chris Pine;Piper Perabo;Emily VanCamp;Christopher Meloni,David Pastor;Àlex Pastor,David Pastor;Àlex Pastor,Action;Drama;Horror;Science Fiction;Thriller,beach;desperation;infection;survival;biohazard;disease;trust;virus;pandemic,PG-13,84,2009,English,58.0,-,$5802422.00,,,,
The Last Castle,Robert Redford;James Gandolfini;Mark Ruffalo;Steve Burton;Delroy Lindo,Rod Lurie,David Scarpa;Graham Yost,Action;Drama;Thriller,prison;general,R,131,2001,English,69.0,$72000000.00,$27642707.00,,,,
[REC]³ Genesis,Leticia Dolera;Javier Botet;Diego Martín;Ismael Martínez;Àlex Monner,Paco Plaza,Paco Plaza;Luiso Berdejo,Horror,religion and supernatural;infection;sequel;demon;demonic possession;flesh eating;spanish horror,not available,80,2012,Spanish,49.0,-,$10158000.00,,,,
Getaway,Ethan Hawke;Selena Gomez;Jon Voight;Paul Freeman;Bruce Payne,Courtney Solomon,Gregg Maxwell Parker;Sean Finegan,Action;Crime,,PG-13,90,2013,English,50.0,$18000000.00,$10501938.00,,,,
Eragon,Ed Speleers;Jeremy Irons;Sienna Guillory;Robert Carlyle;Djimon Hounsou,Stefen Fangmeier,Christopher Paolini;Peter Buchman,Fantasy;Action;Adventure;Family,based on novel;mythical creature;dragon;fantasy world;teenage hero;based on young adult novel,PG,104,2006,English,49.0,$100000000.00,$249288105.00,,,,
Halloween,Malcolm McDowell;Brad Dourif;Daeg Faerch;Tyler Mane;Scout Taylor-Compton,Rob Zombie,Rob Zombie;John Carpenter;Debra Hill,Horror,mask;babysitter;sadism;psychopath;escape;cowardliness;cruelty;extreme violence;maniac;reboot;duringcreditsstinger;disturbed child;michael myers,R,109,2007,English,59.0,$15000000.00,$80253908.00,,,,
In the Mood for Love,Tony Leung Chiu-Wai;Maggie Cheung;Rebecca Pan;Kelly Lai Chen;Siu Ping-Lam,Wong Kar-wai,Wong Kar-wai,Drama;Romance,adultery;lovesickness;martial arts;newspaper;wife husband relationship;married couple;shanghai;deceived husband;forbidden love;marriage crisis;secret love;neighbor;author;hong kong;extramarital affair;singapore;1960s,not available,98,2000,Cantonese,79.0,-,$12854953.00,,,,
A Friend Is a Treasure,Bud Spencer;Terence Hill;John Fujioka;Louise Bennett;Salvatore Borghese,Sergio Corbucci,Sergio Corbucci;Mario Amendola,Action;Adventure;Comedy,fistfight,not available,102,1981,Italian,69.0,-,-,,,,
To Rome with Love,Woody Allen;Roberto Benigni;Penélope Cruz;Alec Baldwin;Judy Davis,Woody Allen,Woody Allen,Romance;Comedy,rome;expatriate;episodic,R,111,2012,English,56.0,$17000000.00,$73244881.00,,,,
The Man without a Face,Mel Gibson;Nick Stahl;Margaret Whitton;Fay Masterson;Gaby Hoffmann,Mel Gibson,Malcolm MacRury;Isabelle Holland,Drama,secret;suspicion;face transplant;friendship;boarding school;love,PG-13,114,1993,English,63.0,-,$24760338.00,,,,
The Hungover Games,Ross Nathan;Sam Pancake;Ben Begley;Herbert Russell;John Livingston,Josh Stolberg,Kyle Barnett Anderson;Kyle Barnett Anderson,Comedy,,R,86,2014,English,43.0,-,-,,,,
TRON: Legacy,Garrett Hedlund;Jeff Bridges;Olivia Wilde;Bruce Boxleitner;Yaya DaCosta,Joseph Kosinski,Adam Horowitz;Edward Kitsis;Richard Jefferies;Steven Lisberger,Adventure;Action;Science Fiction,artificial intelligence;secret identity;computer program;dystopia;computer;deception;duel;motorcycle;neon light;autocracy,PG,125,2010,English,63.0,$170000000.00,$400062763.00,,,,
Agent Cody Banks 2: Destination London,Frankie Muniz;Anthony Anderson;Hannah Spearritt;Alfie Allen;Cynthia Stevenson,Kevin Allen,Don Rhymer,Comedy,london england;cia;teenage hero;teen spy;cia agent,PG,100,2004,English,51.0,$26000000.00,$28818995.00,,,,
The House of the Devil,Jocelin Donahue;Mary Woronov;Greta Gerwig;AJ Bowen;Heather Robb,Ti West,Ti West,Horror;Mystery,secret;ritual;pizza;cult;independent film;pay phone;human sacrifice;pentagram;eclipse;witchcraft;occult;ceremony;satanic ritual;gravestone,R,95,2009,English,60.0,-,-,,,,
Poltergeist,Sam Rockwell;Rosemarie DeWitt;Saxon Sharbino;Kyle Catlett;Kennedi Clements,Gil Kenan,David Lindsay-Abaire;Steven Spielberg,Horror;Thriller,poltergeist;haunted house;remake;duringcreditsstinger,PG-13,93,2015,English,50.0,$35000000.00,$95437994.00,,,,
Fast & Furious 6,Vin Diesel;Paul Walker;Dwayne Johnson;Jordana Brewster;Michelle Rodriguez,Justin Lin,Chris Morgan,Action;Thriller;Crime,car race;sequel;crime;car;automobile racing;car theft,PG-13,131,2013,English,67.0,$160000000.00,$788679850.00,,,,
Wonder Boys,Michael Douglas;Tobey Maguire;Frances McDormand;Katie Holmes;Rip Torn,Curtis Hanson,Michael Chabon;Steve Kloves,Comedy;Drama,adultery;robbery;based on novel;pennsylvania;infidelity;professor;college;police;party;liar;marijuana;writer;university;drug;dog;pittsburgh,R,111,2000,English,69.0,$35000000.00,-,,,,
Notting Hill,Julia Roberts;Hugh Grant;Gina McKee;Tim McInnerny;Rhys Ifans,Roger Michell,Richard Curtis,Romance;Comedy;Drama,london england;bookshop;movie business;birthday;new love;paparazzi;press conference;wheelchair;bath tub;cohabitant;friendship;fame;celebration;movie star;spectacle,PG-13,124,1999,English,70.0,$42000000.00,$363889678.00,,,,
Henry: Portrait of a Serial Killer,Michael Rooker;Tracy Arnold;Tom Towles;David Katz;Mary Demas,John McNaughton,John McNaughton;Richard Fire,Crime;Drama;Horror;Thriller,chicago;prostitute;rape;sadistic;nudity;sister;psychopath;murder;video camera;serial killer;true;blood;extreme violence;killing spree;incest;cult film;murderer duo,R,83,1986,English,68.0,$111000.00,-,,,,
Little Women,Winona Ryder;Trini Alvarado;Claire Danes;Kirsten Dunst;Samantha Mathis,Gillian Armstrong,Louisa May Alcott;Robin Swicord,Drama;Romance,depression;parent child relationship;pregnant;desire;chalkboard; nightgown;louisa may alcott;birth of twins;woman director,PG,115,1994,English,70.0,$18000000.00,-,,,,
Sea of Love,Al Pacino;Ellen Barkin;John Goodman;Michael Rooker;William Hickey,Harold Becker,Richard Price,Drama;Crime;Mystery,new york;alcohol;sex;detective;newspaper;nudity;suspect;police;murder;suspense;serial killer;neo-noir,R,113,1989,English,67.0,$19000000.00,$110879513.00,,,,
Blue Crush,Kate Bosworth;Matthew Davis;Michelle Rodriguez;Sanoe Lake;Mika Boorem,John Stockwell,John Stockwell;Lizzy Weiss,Adventure,sea;surfer;hawaii;sport;job;american football player;pretty woman,PG-13,104,2002,English,57.0,$25000000.00,$51842679.00,,,,
The Gendarme of St. Tropez,Louis de Funès;Geneviève Grad;Michel Galabru;Christian Marin;Michel Modo,Jean Girault,Jean Girault;Jacques Vilfrid;Richard Balducci,Comedy,gendarmerie,not available,89,1964,French,69.0,-,-,,,,
Berlin Syndrome,Teresa Palmer;Max Riemelt;Matthias Habich;Emma Bading;Elmira Bahrami,Cate Shortland,Melanie Joosten;Shaun Grant,Mystery;Thriller;Drama;Horror,berlin;stockholm syndrome;based on novel;hostage;photojournalist;woman director,not available,116,2017,English,61.0,-,$201719.00,,,,
Twilight Zone: The Movie,Albert Brooks;Vic Morrow;John Larroquette;John Lithgow;Dan Aykroyd,John Landis;George Miller;Joe Dante;Steven Spielberg,John Landis;Rod Serling;George Clayton Johnson;Richard Matheson,Drama;Fantasy;Horror;Science Fiction;Thriller,nazis;anthology;remake;twilight zone,PG,101,1983,English,63.0,$10000000.00,$29450919.00,,,,
Collide,Nicholas Hoult;Felicity Jones;Anthony Hopkins;Ben Kingsley;Marwan Kenzari,Eran Creevy,Eran Creevy;F. Scott Frazier,Thriller;Action,,PG-13,98,2016,English,56.0,$21500000.00,$4811525.00,,,,
Conan the Barbarian,Arnold Schwarzenegger;James Earl Jones;Max von Sydow;Sandahl Bergman;Cassandra Gava,John Milius,John Milius;Edward Summer;Robert E. Howard;Oliver Stone,Adventure;Fantasy;Action,gladiator;repayment;despot;barbarian;sword and sorcery,R,129,1982,English,66.0,$20000000.00,$79114085.00,,,,
A Silent Voice,Miyu Irino;Saori Hayami;Aoi Yuki;Kensho Ono;Yuki Kaneko,Naoko Yamada,Reiko Yoshida,Drama;Animation,friendship;high school;bullying;coming of age;based on manga;deaf;woman director;sign language;anime,not available,130,2016,Japanese,83.0,-,$19606617.00,,,,
Rocky II,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,Sylvester Stallone,Sylvester Stallone,Drama,transporter;coma;wife husband relationship;intensive care;hero;love of one's life;publicity;boxer;boxing match;training;world champion;victory;sport;hospital,PG,119,1979,English,69.0,$7000000.00,$200182160.00,,,,
The Girl Who Leapt Through Time,Riisa Naka;Takuya Ishida;Mitsutaka Itakura;Fumihiko Tachiki;Ayami Kakiuchi,Mamoru Hosoda,Satoko Okudera;Yasutaka Tsutsui,Fantasy;Animation;Drama;Science Fiction,time travel;love;surrealism;slice of life;teenage girl;school;student;schoolgirl;teenage romance;pudding,not available,98,2006,Japanese,78.0,-,$3800000.00,,,,
The Muppet Movie,Jim Henson;Frank Oz;Jerry Nelson;Richard Hunt;Dave Goelz,James Frawley,Jack Burns;Jerry Juhl,Music;Adventure;Comedy;Family,chicken;musical;frog;puppet;fame;hollywood;gonzo;muppet;kermit;fozzie bear;kermit the frog;floyd;dr teeth;miss piggy;studebaker;movie star;aftercreditsstinger,G,97,1979,English,70.0,-,$76657000.00,,,,
The Green Inferno,Lorenza Izzo;Ariel Levy;Sky Ferreira;Nicolas Martinez;Kirby Bliss Blanton,Eli Roth,Eli Roth;Guillermo Amoedo,Action;Adventure;Horror;Thriller,chile;gore;jungle;extreme violence;cannibal;south america,R,100,2014,English,52.0,$5000000.00,$6833445.00,,,,
Tae Guk Gi: The Brotherhood of War,Jang Dong-gun;Won Bin;Lee Eun-ju;Gong Hyung-jin;Park Jeong-Woo,Kang Je-gyu,Kang Je-gyu;Han Ji-hun;Kim Sang-don,Action;Adventure;Drama;History;War,archaeologist;korean war;north korea;south korea;air raid;pyre,not available,140,2004,Korean,74.0,-,-,,,,
Are We There Yet?,Ice Cube;Nia Long;Aleisha Allen;Philip Bolden;Jay Mohr,Brian Levant,Claudia Grazioso;Steven Gary Banks;David N. Weiss;J. David Stem,Adventure;Comedy;Family;Romance,car journey;macho;road trip;children;pretty woman;trouble,PG,95,2005,English,52.0,$32000000.00,$97918663.00,,,,
Thief,James Caan;Tuesday Weld;Willie Nelson;Jim Belushi;Robert Prosky,Michael Mann,Michael Mann;Frank Hohimer,Action;Crime;Drama;Thriller,chicago;loss of loved one;burglar;car dealer;shadowing;error;safe;idealist;thief;convict,R,122,1981,English,72.0,-,$4300000.00,,,,
Interstate 60,James Marsden;Gary Oldman;Amy Smart;Christopher Lloyd;Chris Cooper,Bob Gale,Bob Gale,Adventure;Comedy;Drama;Fantasy;Mystery,fantasy;motel;highway;road trip;surrealism;lawyer;dream girl;judgment;convertible;parallel world;courtroom,R,116,2002,English,72.0,$7000000.00,-,,,,
Three Colors: White,Zbigniew Zamachowski;Julie Delpy;Janusz Gajos;Jerzy Stuhr;Aleksander Bardini,Krzysztof Kieślowski,Krzysztof Kieślowski;Krzysztof Piesiewicz,Comedy;Drama;Mystery,hairdresser;sexual frustration;funeral;business man;poland,R,91,1994,French,74.0,-,-,,,,
Five,Pierre Niney;François Civil;Igor Gotesman;Margot Bancilhon;Idrissa Hanrot,Igor Gotesman,Igor Gotesman;Alice Vial;Mathieu Oullion,Comedy,video game,not available,102,2016,French,72.0,-,-,,,,
Short Circuit 2,Fisher Stevens;Michael McKean;Cynthia Gibb;Jack Weston;Tim Blaney,Kenneth Johnson,S. S. Wilson;Brent Maddock,Comedy;Family;Science Fiction;Drama,robbery;helicopter;boat;hustler;hitman;ranch;invention;punk;police;sequel;heist;gang;robot;city;diamond;entrepreneur,PG,110,1988,English,56.0,$10000000.00,$21630088.00,,,,
Breakfast at Tiffany's,Audrey Hepburn;George Peppard;Patricia Neal;Buddy Ebsen;Martin Balsam,Blake Edwards,George Axelrod;Truman Capote,Comedy;Drama;Romance,new york;loss of loved one;age difference;cat;broken engagement;fire escape;love of one's life;jewelry;store window;neighbor;millionaire;celebration,NR,110,1961,English,76.0,$2500000.00,$9500000.00,,,,
The Chaser,Kim Yoon-seok;Ha Jung-woo;Seo Young-Hee;Park Hyo-ju;Jeong In-gi,Na Hong-jin,Na Hong-jin;Lee Shin-Ho;Hong Won-chan,Crime;Drama;Thriller,prostitute;pimp;rope;flu;hammer;gore;serial killer;violence;cell phone;dog;tied up;meat hook;south korea;chisel,PG-13,125,2008,Korean,77.0,-,-,,,,
Infernal Affairs,Andy Lau;Tony Leung Chiu-Wai;Anthony Wong;Eric Tsang;Kelly Chen,Alan Mak;Andrew Lau,Alan Mak;Felix Chong,Drama;Action;Thriller;Crime;Mystery,undercover;undercover agent;hong kong,R,101,2002,Cantonese,77.0,-,$8708932.00,,,,
The Witches,Anjelica Huston;Mai Zetterling;Jasen Fisher;Rowan Atkinson;Bill Paterson,Nicolas Roeg,Allan Scott;Roald Dahl,Adventure;Fantasy;Horror,hotel;witch;chocolate;grandparent grandchild relationship;mouse;based on children's book;seaside;bald;treehouse,PG,91,1990,English,66.0,-,$15360553.00,,,,
Caddyshack,Chevy Chase;Rodney Dangerfield;Ted Knight;Michael O'Keefe;Bill Murray,Harold Ramis,Harold Ramis;Douglas Kenney;Brian Doyle-Murray,Comedy,competition;lightning;golf;underwear;sport;coming of age;class differences;explosion;golf course;country club;gopher,R,98,1980,English,66.0,$6000000.00,$39846344.00,,,,
Bloodsport,Jean-Claude Van Damme;Bolo Yeung;Roy Chiao;Philip Chan Yan-Kin;Donald Gibb,Newt Arnold,Mel Friedman;Christopher Cosby;Sheldon Lettich,Action,martial arts;biography;sport;sensei;mixed martial arts;hong kong,R,92,1988,English,66.0,$10000000.00,-,,,,
